S.No,timestamp,No_of_availability
2838,2016-07-01 00:00:02,5497
2839,2016-07-01 00:15:02,5500
2840,2016-07-01 00:30:03,5497
2841,2016-07-01 00:45:03,5498
2842,2016-07-01 01:00:03,5499
2843,2016-07-01 01:15:02,5498
2844,2016-07-01 01:30:02,5500
2845,2016-07-01 01:45:02,5499
2846,2016-07-01 02:00:03,5496
2847,2016-07-01 02:15:02,5495
2848,2016-07-01 02:30:03,5495
2849,2016-07-01 02:45:02,5494
2850,2016-07-01 03:00:02,5492
2851,2016-07-01 03:15:02,5491
2852,2016-07-01 03:30:03,5492
2853,2016-07-01 03:45:02,5492
2854,2016-07-01 04:00:03,5492
2855,2016-07-01 04:15:02,5493
2856,2016-07-01 04:30:02,5492
2857,2016-07-01 04:45:02,5493
2858,2016-07-01 05:00:03,5493
2859,2016-07-01 05:15:03,5491
2860,2016-07-01 05:30:02,5492
2861,2016-07-01 05:45:02,5491
2862,2016-07-01 06:00:02,5482
2863,2016-07-01 06:15:03,5473
2864,2016-07-01 06:30:02,5432
2865,2016-07-01 06:45:02,5369
2866,2016-07-01 07:00:03,5261
2867,2016-07-01 07:15:04,5102
2868,2016-07-01 07:30:03,4920
2869,2016-07-01 07:45:03,4677
2870,2016-07-01 08:00:02,4397
2871,2016-07-01 08:15:02,4084
2872,2016-07-01 08:30:03,3774
2873,2016-07-01 08:45:02,3450
2874,2016-07-01 09:00:02,3114
2875,2016-07-01 09:15:04,2844
2876,2016-07-01 09:30:03,2562
2877,2016-07-01 09:45:03,3007
2878,2016-07-01 10:00:03,2842
2879,2016-07-01 10:15:02,2699
2880,2016-07-01 10:30:02,2574
2881,2016-07-01 10:45:03,2446
2882,2016-07-01 11:00:02,2339
2883,2016-07-01 11:15:04,2242
2884,2016-07-01 11:30:02,2153
2885,2016-07-01 11:45:05,2074
2886,2016-07-01 12:00:04,2009
2887,2016-07-01 12:15:03,1999
2888,2016-07-01 12:30:03,2035
2889,2016-07-01 12:45:03,1996
2890,2016-07-01 13:00:03,1965
2891,2016-07-01 13:15:03,1988
2892,2016-07-01 13:30:02,1966
2893,2016-07-01 13:45:02,1947
2894,2016-07-01 14:00:03,1964
2895,2016-07-01 14:15:02,2020
2896,2016-07-01 14:30:02,2019
2897,2016-07-01 14:45:02,2065
2898,2016-07-01 15:00:03,2138
2899,2016-07-01 15:15:03,2176
2900,2016-07-01 15:30:03,2221
2901,2016-07-01 15:45:03,2250
2902,2016-07-01 16:00:02,2245
2903,2016-07-01 16:15:02,2338
2904,2016-07-01 16:30:03,2595
2905,2016-07-01 16:45:02,2827
2906,2016-07-01 17:00:02,2993
2907,2016-07-01 17:15:03,3143
2908,2016-07-01 17:30:02,3271
2909,2016-07-01 17:45:02,3323
2910,2016-07-01 18:00:02,3364
2911,2016-07-01 18:15:03,3476
2912,2016-07-01 18:30:02,3518
2913,2016-07-01 18:45:02,3514
2914,2016-07-01 19:00:02,3571
2915,2016-07-01 19:15:02,3544
2916,2016-07-01 19:30:02,3524
2917,2016-07-01 19:45:02,3517
2918,2016-07-01 20:00:02,3551
2919,2016-07-01 20:15:02,3603
2920,2016-07-01 20:30:02,3629
2921,2016-07-01 20:45:02,3656
2922,2016-07-01 21:00:02,3759
2923,2016-07-01 21:15:03,3887
2924,2016-07-01 21:30:02,4065
2925,2016-07-01 21:45:03,4310
2926,2016-07-01 22:00:03,4594
2927,2016-07-01 22:15:02,4924
2928,2016-07-01 22:30:02,5258
2929,2016-07-01 22:45:03,5406
2930,2016-07-01 23:00:03,5496
2931,2016-07-01 23:15:02,5500
2932,2016-07-01 23:30:02,5500
2933,2016-07-01 23:45:02,5500
2934,2016-07-02 00:00:03,5496
2935,2016-07-02 00:15:02,5500
2936,2016-07-02 00:30:03,5499
2937,2016-07-02 00:45:02,5499
2938,2016-07-02 01:00:02,5497
2939,2016-07-02 01:15:03,5496
2940,2016-07-02 01:30:02,5496
2941,2016-07-02 01:45:02,5497
2942,2016-07-02 02:00:02,5497
2943,2016-07-02 02:15:02,5499
2944,2016-07-02 02:30:02,5497
2945,2016-07-02 02:45:03,5500
2946,2016-07-02 03:00:03,5497
2947,2016-07-02 03:15:03,5500
2948,2016-07-02 03:30:03,5498
2949,2016-07-02 03:45:02,5498
2950,2016-07-02 04:00:03,5499
2951,2016-07-02 04:15:02,5500
2952,2016-07-02 04:30:02,5500
2953,2016-07-02 04:45:02,5499
2954,2016-07-02 05:00:02,5499
2955,2016-07-02 05:15:02,5499
2956,2016-07-02 05:30:02,5499
2957,2016-07-02 05:45:03,5499
2958,2016-07-02 06:00:02,5499
2959,2016-07-02 06:15:03,5498
2960,2016-07-02 06:30:02,5496
2961,2016-07-02 06:45:03,5496
2962,2016-07-02 07:00:02,5497
2963,2016-07-02 07:15:02,5493
2964,2016-07-02 07:30:02,5489
2965,2016-07-02 07:45:02,5479
2966,2016-07-02 08:00:02,5472
2967,2016-07-02 08:15:02,5461
2968,2016-07-02 08:30:03,5439
2969,2016-07-02 08:45:03,5420
2970,2016-07-02 09:00:03,5391
2971,2016-07-02 09:15:03,5342
2972,2016-07-02 09:30:03,5280
2973,2016-07-02 09:45:02,5148
2974,2016-07-02 10:00:02,4988
2975,2016-07-02 10:15:02,4816
2976,2016-07-02 10:30:02,4618
2977,2016-07-02 10:45:02,4394
2978,2016-07-02 11:00:02,4163
2979,2016-07-02 11:15:02,3955
2980,2016-07-02 11:30:02,3727
2981,2016-07-02 11:45:03,3554
2982,2016-07-02 12:00:02,3344
2983,2016-07-02 12:15:03,3155
2984,2016-07-02 12:30:02,2958
2985,2016-07-02 12:45:02,2792
2986,2016-07-02 13:00:02,2687
2987,2016-07-02 13:15:02,2566
2988,2016-07-02 13:30:03,2457
2989,2016-07-02 13:45:03,2369
2990,2016-07-02 14:00:03,2318
2991,2016-07-02 14:15:03,2275
2992,2016-07-02 14:30:02,2220
2993,2016-07-02 14:45:02,2130
2994,2016-07-02 15:00:03,2042
2995,2016-07-02 15:15:03,1946
2996,2016-07-02 15:30:02,1879
2997,2016-07-02 15:45:02,1863
2998,2016-07-02 16:00:02,1880
2999,2016-07-02 16:15:02,1937
3000,2016-07-02 16:30:03,1959
3001,2016-07-02 16:45:03,2010
3002,2016-07-02 17:00:02,2039
3003,2016-07-02 17:15:02,2151
3004,2016-07-02 17:30:02,2267
3005,2016-07-02 17:45:02,2269
3006,2016-07-02 18:00:03,2302
3007,2016-07-02 18:15:02,2336
3008,2016-07-02 18:30:02,2322
3009,2016-07-02 18:45:02,2350
3010,2016-07-02 19:00:03,2368
3011,2016-07-02 19:15:03,2354
3012,2016-07-02 19:30:02,2374
3013,2016-07-02 19:45:03,2322
3014,2016-07-02 20:00:02,2300
3015,2016-07-02 20:15:02,2317
3016,2016-07-02 20:30:02,2385
3017,2016-07-02 20:45:02,2420
3018,2016-07-02 21:00:02,2484
3019,2016-07-02 21:15:02,2651
3020,2016-07-02 21:30:02,2882
3021,2016-07-02 21:45:02,3155
3022,2016-07-02 22:00:02,3520
3023,2016-07-02 22:15:02,3939
3024,2016-07-02 22:30:03,4544
3025,2016-07-02 22:45:03,4900
3026,2016-07-02 23:00:03,5055
3027,2016-07-02 23:15:03,5145
3028,2016-07-02 23:30:03,5205
3029,2016-07-02 23:45:03,5223
3030,2016-07-03 00:00:03,5224
3031,2016-07-03 00:15:02,5227
3032,2016-07-03 00:30:03,5230
3033,2016-07-03 00:45:02,5237
3034,2016-07-03 01:00:02,5239
3035,2016-07-03 01:15:02,5239
3036,2016-07-03 01:30:03,5238
3037,2016-07-03 01:45:03,5242
3038,2016-07-03 02:00:03,5243
3039,2016-07-03 02:15:02,5242
3040,2016-07-03 02:30:02,5242
3041,2016-07-03 02:45:02,5243
3042,2016-07-03 03:00:03,5245
3043,2016-07-03 03:15:02,5247
3044,2016-07-03 03:30:02,5247
3045,2016-07-03 03:45:02,5247
3046,2016-07-03 04:00:03,5246
3047,2016-07-03 04:15:03,5247
3048,2016-07-03 04:30:02,5247
3049,2016-07-03 04:45:02,5247
3050,2016-07-03 05:00:02,5246
3051,2016-07-03 05:15:02,5246
3052,2016-07-03 05:30:02,5247
3053,2016-07-03 05:45:02,5246
3054,2016-07-03 06:00:02,5245
3055,2016-07-03 06:15:02,5246
3056,2016-07-03 06:30:02,5245
3057,2016-07-03 06:45:02,5245
3058,2016-07-03 07:00:02,5245
3059,2016-07-03 07:15:02,5241
3060,2016-07-03 07:30:02,5240
3061,2016-07-03 07:45:02,5236
3062,2016-07-03 08:00:02,5226
3063,2016-07-03 08:15:03,5214
3064,2016-07-03 08:30:02,5199
3065,2016-07-03 08:45:02,5183
3066,2016-07-03 09:00:02,5146
3067,2016-07-03 09:15:02,5094
3068,2016-07-03 09:30:03,5020
3069,2016-07-03 09:45:02,4881
3070,2016-07-03 10:00:03,4647
3071,2016-07-03 10:15:02,4387
3072,2016-07-03 10:30:02,4082
3073,2016-07-03 10:45:02,3767
3074,2016-07-03 11:00:03,3448
3075,2016-07-03 11:15:02,3127
3076,2016-07-03 11:30:02,2773
3077,2016-07-03 11:45:02,2457
3078,2016-07-03 12:00:02,2152
3079,2016-07-03 12:15:02,1877
3080,2016-07-03 12:30:02,1659
3081,2016-07-03 12:45:02,1425
3082,2016-07-03 13:00:03,1248
3083,2016-07-03 13:15:03,1066
3084,2016-07-03 13:30:02,0956
3085,2016-07-03 13:45:02,0816
3086,2016-07-03 14:00:02,0724
3087,2016-07-03 14:15:02,0656
3088,2016-07-03 14:30:03,0549
3089,2016-07-03 14:45:02,0493
3090,2016-07-03 15:00:02,0383
3091,2016-07-03 15:15:03,0353
3092,2016-07-03 15:30:03,0372
3093,2016-07-03 15:45:02,0421
3094,2016-07-03 16:00:02,0411
3095,2016-07-03 16:15:03,0482
3096,2016-07-03 16:30:02,0596
3097,2016-07-03 16:45:02,0691
3098,2016-07-03 17:00:02,0815
3099,2016-07-03 17:15:02,0996
3100,2016-07-03 17:30:03,1116
3101,2016-07-03 17:45:02,1257
